 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Fe in Fe-Cr-Ni

 Ion = Iron [26] , Mass = 55.935 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 150.00 keV   4.486E+01  1.865E+02     488 A       221 A       153 A   
 160.00 keV   4.604E+01  1.843E+02     521 A       233 A       162 A   
 170.00 keV   4.719E+01  1.821E+02     553 A       246 A       170 A   
 180.00 keV   4.839E+01  1.799E+02     586 A       259 A       179 A   
 200.00 keV   5.097E+01  1.757E+02     653 A       284 A       196 A   
 225.00 keV   5.423E+01  1.706E+02     737 A       315 A       218 A   
 250.00 keV   5.735E+01  1.658E+02     823 A       346 A       240 A   
 275.00 keV   6.035E+01  1.613E+02     910 A       376 A       262 A   
 300.00 keV   6.329E+01  1.570E+02     998 A       407 A       284 A   
 325.00 keV   6.622E+01  1.530E+02    1087 A       437 A       306 A   
 350.00 keV   6.916E+01  1.491E+02    1177 A       467 A       328 A   
 375.00 keV   7.212E+01  1.455E+02    1268 A       496 A       351 A   
 400.00 keV   7.510E+01  1.421E+02    1360 A       525 A       373 A   
 450.00 keV   8.112E+01  1.358E+02    1544 A       581 A       418 A   
 500.00 keV   8.719E+01  1.301E+02    1730 A       636 A       464 A   
 550.00 keV   9.327E+01  1.250E+02    1916 A       689 A       509 A   
 600.00 keV   9.933E+01  1.203E+02    2103 A       740 A       554 A   
 650.00 keV   1.054E+02  1.160E+02    2289 A       790 A       598 A   
 700.00 keV   1.113E+02  1.120E+02    2475 A       838 A       642 A   
 800.00 keV   1.230E+02  1.050E+02    2845 A       928 A       728 A   
 900.00 keV   1.344E+02  9.894E+01    3210 A      1012 A       811 A   
   1.00 MeV   1.456E+02  9.365E+01    3569 A      1090 A       891 A   
   1.10 MeV   1.564E+02  8.898E+01    3922 A      1162 A       968 A   
   1.20 MeV   1.670E+02  8.483E+01    4269 A      1230 A      1042 A   
   1.30 MeV   1.773E+02  8.111E+01    4609 A      1293 A      1112 A   
   1.40 MeV   1.875E+02  7.774E+01    4942 A      1352 A      1180 A   
   1.50 MeV   1.974E+02  7.469E+01    5269 A      1407 A      1245 A   
   1.60 MeV   2.072E+02  7.191E+01    5589 A      1458 A      1306 A   
   1.70 MeV   2.168E+02  6.935E+01    5903 A      1507 A      1366 A   
   1.80 MeV   2.263E+02  6.700E+01    6211 A      1552 A      1422 A   
   2.00 MeV   2.449E+02  6.281E+01    6808 A      1636 A      1529 A   
   2.25 MeV   2.676E+02  5.835E+01    7522 A      1728 A      1650 A   
   2.50 MeV   2.897E+02  5.456E+01    8203 A      1809 A      1760 A   
   2.75 MeV   3.116E+02  5.129E+01    8853 A      1879 A      1860 A   
   3.00 MeV   3.331E+02  4.844E+01    9474 A      1942 A      1951 A   
   3.25 MeV   3.543E+02  4.593E+01    1.01 um     1997 A      2034 A   
   3.50 MeV   3.753E+02  4.369E+01    1.06 um     2047 A      2110 A   
   3.75 MeV   3.960E+02  4.170E+01    1.12 um     2091 A      2181 A   
   4.00 MeV   4.166E+02  3.989E+01    1.17 um     2131 A      2246 A   
   4.50 MeV   4.570E+02  3.677E+01    1.27 um     2202 A      2362 A   
   5.00 MeV   4.964E+02  3.415E+01    1.36 um     2262 A      2463 A   
   5.50 MeV   5.349E+02  3.192E+01    1.45 um     2312 A      2551 A   
   6.00 MeV   5.723E+02  2.999E+01    1.53 um     2355 A      2629 A   
   6.50 MeV   6.087E+02  2.831E+01    1.61 um     2392 A      2699 A   
   7.00 MeV   6.439E+02  2.683E+01    1.69 um     2425 A      2761 A   
   8.00 MeV   7.113E+02  2.432E+01    1.82 um     2483 A      2869 A   
   9.00 MeV   7.744E+02  2.229E+01    1.95 um     2529 A      2959 A   
  10.00 MeV   8.336E+02  2.060E+01    2.07 um     2568 A      3035 A   
  11.00 MeV   8.888E+02  1.917E+01    2.18 um     2600 A      3101 A   
  12.00 MeV   9.406E+02  1.794E+01    2.29 um     2628 A      3159 A   
  13.00 MeV   9.890E+02  1.688E+01    2.39 um     2652 A      3211 A   
  14.00 MeV   1.034E+03  1.594E+01    2.48 um     2673 A      3257 A   
  15.00 MeV   1.077E+03  1.512E+01    2.57 um     2692 A      3298 A   
  16.00 MeV   1.117E+03  1.438E+01    2.66 um     2709 A      3336 A   
  17.00 MeV   1.154E+03  1.372E+01    2.75 um     2725 A      3371 A   
  18.00 MeV   1.190E+03  1.312E+01    2.83 um     2739 A      3403 A   
  20.00 MeV   1.254E+03  1.208E+01    2.99 um     2768 A      3460 A   
  22.50 MeV   1.324E+03  1.100E+01    3.18 um     2803 A      3522 A   
  25.00 MeV   1.385E+03  1.012E+01    3.36 um     2832 A      3575 A   
  27.50 MeV   1.438E+03  9.378E+00    3.54 um     2859 A      3623 A   
  30.00 MeV   1.485E+03  8.746E+00    3.71 um     2882 A      3665 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.2764E-02                keV / (ug/cm2) 
  1.2764E-02                MeV / (mg/cm2) 
  1.2764E+01                keV / (mg/cm2) 
  1.1737E+00                 eV / (1E15 atoms/cm2)
  1.7215E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
