 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> March 24, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Zirconium

 Ion = Zirconium [40] , Mass = 89.9 amu

 Target Density =  6.4900E+00 g/cm3 = 4.2845E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  65.00 keV   1.476E+01  2.061E+02     243 A       135 A        97 A   
  70.00 keV   1.532E+01  2.079E+02     258 A       142 A       102 A   
  80.00 keV   1.638E+01  2.108E+02     287 A       156 A       112 A   
  90.00 keV   1.737E+01  2.130E+02     316 A       170 A       121 A   
 100.00 keV   1.831E+01  2.146E+02     345 A       183 A       131 A   
 110.00 keV   1.921E+01  2.157E+02     373 A       197 A       140 A   
 120.00 keV   2.006E+01  2.165E+02     402 A       210 A       149 A   
 130.00 keV   2.088E+01  2.170E+02     430 A       224 A       158 A   
 140.00 keV   2.167E+01  2.173E+02     459 A       237 A       167 A   
 150.00 keV   2.243E+01  2.174E+02     487 A       250 A       176 A   
 160.00 keV   2.317E+01  2.173E+02     516 A       263 A       185 A   
 170.00 keV   2.388E+01  2.171E+02     545 A       276 A       194 A   
 180.00 keV   2.461E+01  2.167E+02     573 A       289 A       203 A   
 200.00 keV   2.895E+01  2.158E+02     631 A       314 A       220 A   
 225.00 keV   3.218E+01  2.142E+02     702 A       345 A       242 A   
 250.00 keV   3.431E+01  2.124E+02     774 A       376 A       263 A   
 275.00 keV   3.602E+01  2.104E+02     847 A       407 A       284 A   
 300.00 keV   3.760E+01  2.082E+02     920 A       437 A       305 A   
 325.00 keV   3.921E+01  2.060E+02     994 A       468 A       326 A   
 350.00 keV   4.092E+01  2.037E+02    1068 A       499 A       346 A   
 375.00 keV   4.277E+01  2.014E+02    1143 A       529 A       367 A   
 400.00 keV   4.476E+01  1.991E+02    1218 A       560 A       387 A   
 450.00 keV   4.913E+01  1.946E+02    1370 A       619 A       429 A   
 500.00 keV   5.393E+01  1.902E+02    1523 A       678 A       470 A   
 550.00 keV   5.900E+01  1.859E+02    1677 A       735 A       512 A   
 600.00 keV   6.423E+01  1.818E+02    1831 A       791 A       553 A   
 650.00 keV   6.949E+01  1.779E+02    1986 A       846 A       595 A   
 700.00 keV   7.472E+01  1.741E+02    2140 A       899 A       636 A   
 800.00 keV   8.485E+01  1.671E+02    2449 A      1002 A       718 A   
 900.00 keV   9.433E+01  1.606E+02    2757 A      1101 A       799 A   
   1.00 MeV   1.031E+02  1.547E+02    3065 A      1195 A       878 A   
   1.10 MeV   1.111E+02  1.492E+02    3372 A      1287 A       956 A   
   1.20 MeV   1.184E+02  1.442E+02    3678 A      1375 A      1032 A   
   1.30 MeV   1.250E+02  1.396E+02    3984 A      1460 A      1107 A   
   1.40 MeV   1.312E+02  1.353E+02    4290 A      1543 A      1181 A   
   1.50 MeV   1.369E+02  1.313E+02    4596 A      1623 A      1253 A   
