 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 21, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Copper in Copper

 Ion = Copper [29] , Mass = 62.93 amu

 Target Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  11.00 MeV   7.410E+02  2.758E+01    2.39 um     3393 A      3934 A   
  12.00 MeV   7.924E+02  2.585E+01    2.52 um     3439 A      4026 A   
  13.00 MeV   8.418E+02  2.434E+01    2.63 um     3479 A      4108 A   
  14.00 MeV   8.892E+02  2.302E+01    2.74 um     3513 A      4181 A   
  15.00 MeV   9.348E+02  2.184E+01    2.85 um     3544 A      4247 A   
  16.00 MeV   9.786E+02  2.079E+01    2.95 um     3571 A      4306 A   
  17.00 MeV   1.021E+03  1.985E+01    3.04 um     3595 A      4360 A   
  18.00 MeV   1.061E+03  1.899E+01    3.14 um     3617 A      4409 A   
  20.00 MeV   1.137E+03  1.751E+01    3.31 um     3659 A      4496 A   
  22.50 MeV   1.224E+03  1.597E+01    3.52 um     3704 A      4589 A   
  25.00 MeV   1.303E+03  1.471E+01    3.71 um     3743 A      4667 A   
  27.50 MeV   1.375E+03  1.364E+01    3.89 um     3775 A      4735 A   
  30.00 MeV   1.441E+03  1.273E+01    4.07 um     3803 A      4794 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.1211E-02                keV / (ug/cm2) 
  1.1211E-02                MeV / (mg/cm2) 
  1.1211E+01                keV / (mg/cm2) 
  1.1830E+00                 eV / (1E15 atoms/cm2)
  1.4517E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
