 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> April 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Tungsten in Tungsten

 Ion = Tungsten [74] , Mass = 183.951 amu

 Target Density =  1.9350E+01 g/cm3 = 6.3381E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      W     74    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   4.504E+02  6.535E+02    3051 A      1126 A       813 A   
   5.00 MeV   4.652E+02  6.265E+02    3423 A      1235 A       898 A   
   5.50 MeV   4.792E+02  6.020E+02    3800 A      1342 A       984 A   
   6.00 MeV   4.926E+02  5.797E+02    4184 A      1448 A      1070 A   
   6.50 MeV   5.060E+02  5.592E+02    4572 A      1553 A      1156 A   
   7.00 MeV   5.194E+02  5.404E+02    4965 A      1656 A      1243 A   
   8.00 MeV   5.468E+02  5.069E+02    5760 A      1857 A      1418 A   
   9.00 MeV   5.756E+02  4.779E+02    6564 A      2051 A      1593 A   
  10.00 MeV   6.057E+02  4.526E+02    7371 A      2236 A      1767 A   
  11.00 MeV   6.372E+02  4.303E+02    8178 A      2414 A      1939 A   
  12.00 MeV   6.699E+02  4.103E+02    8981 A      2582 A      2108 A   
  13.00 MeV   7.037E+02  3.925E+02    9777 A      2743 A      2274 A   
  14.00 MeV   7.383E+02  3.763E+02    1.06 um     2895 A      2436 A   
  15.00 MeV   7.736E+02  3.617E+02    1.13 um     3039 A      2594 A   
  16.00 MeV   8.095E+02  3.483E+02    1.21 um     3175 A      2747 A   
  17.00 MeV   8.458E+02  3.360E+02    1.29 um     3304 A      2896 A   
  18.00 MeV   8.825E+02  3.247E+02    1.36 um     3425 A      3040 A   
  20.00 MeV   9.563E+02  3.045E+02    1.51 um     3651 A      3313 A   
  22.50 MeV   1.049E+03  2.830E+02    1.68 um     3902 A      3629 A   
  25.00 MeV   1.141E+03  2.647E+02    1.84 um     4122 A      3918 A   
  27.50 MeV   1.233E+03  2.489E+02    2.00 um     4316 A      4183 A   
  30.00 MeV   1.324E+03  2.351E+02    2.15 um     4487 A      4425 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  5.1681E-03                keV / (ug/cm2) 
  5.1681E-03                MeV / (mg/cm2) 
  5.1681E+00                keV / (mg/cm2) 
  1.5778E+00                 eV / (1E15 atoms/cm2)
  4.0424E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
